[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L0541: nFrameNum[223] pstFrameInfo->nFrameNum[234]
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L0541: nFrameNum[234] pstFrameInfo->nFrameNum[245]
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L0541: nFrameNum[245] pstFrameInfo->nFrameNum[256]
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:04] |    StreamProcess.cpp-L0541: nFrameNum[256] pstFrameInfo->nFrameNum[267]
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
[2019-10-26 10:31:05] |    StreamProcess.cpp-L1471: delete one DataNode
